"Country","Genre","Purchases","Sales"
"Argentina","Rock",9,8.91
"Argentina","Alternative & Punk",9,8.91
"Argentina","Latin",8,7.92
"Argentina","Metal",7,6.93
"Argentina","Jazz",2,1.98
"Argentina","Easy Listening",2,1.98
"Argentina","Soundtrack",1,0.99
"Australia","Rock",22,21.78
"Australia","Metal",8,7.92
"Australia","Heavy Metal",3,2.97
"Australia","Reggae",2,1.98
"Australia","Latin",2,1.98
"Australia","Blues",1,0.99
"Austria","Rock",15,14.85
"Austria","Metal",7,6.93
"Austria","TV Shows",4,7.96
"Austria","R&B/Soul",4,3.96
"Austria","Latin",2,1.98
"Austria","Jazz",2,1.98
"Austria","Classical",2,1.98
"Austria","Pop",1,0.99
"Austria","Drama",1,1.99
"Belgium","Rock",21,20.79
"Belgium","Alternative & Punk",14,13.86
"Belgium","R&B/Soul",2,1.98
"Belgium","Metal",1,0.99
"Brazil","Rock",81,80.19
"Brazil","Latin",53,52.47
"Brazil","Metal",15,14.85
"Brazil","Alternative & Punk",7,6.93
"Brazil","Reggae",6,5.94
"Brazil","Classical",6,5.94
"Brazil","Blues",6,5.94
"Brazil","Soundtrack",4,3.96
"Brazil","R&B/Soul",3,2.97
"Brazil","Pop",3,2.97
"Brazil","World",2,1.98
"Brazil","Sci Fi & Fantasy",2,3.98
"Brazil","Hip Hop/Rap",2,1.98
"Canada","Rock",107,105.93
"Canada","Latin",60,59.4
"Canada","Metal",40,39.6
"Canada","Alternative & Punk",36,35.64
"Canada","Jazz",13,12.87
"Canada","Reggae",7,6.93
"Canada","Bossa Nova",7,6.93
"Canada","World",6,5.94
"Canada","R&B/Soul",5,4.95
"Canada","Hip Hop/Rap",5,4.95
"Canada","Classical",5,4.95
"Canada","Electronica/Dance",4,3.96
"Canada","Blues",4,3.96
"Canada","Rock And Roll",2,1.98
"Canada","Drama",2,3.98
"Canada","TV Shows",1,1.99
"Chile","Rock",9,8.91
"Chile","Latin",8,7.92
"Chile","Drama",4,7.96
"Chile","Metal",3,2.97
"Chile","Easy Listening",3,2.97
"Chile","TV Shows",2,3.98
"Chile","Science Fiction",2,3.98
