,Artist,Songs
0,Led Zeppelin,114
1,U2,112
2,Deep Purple,92
3,Iron Maiden,81
4,Pearl Jam,54
5,Van Halen,52
6,Queen,45
7,The Rolling Stones,41
8,Creedence Clearwater Revival,40
9,Kiss,35
10,Foo Fighters,33
11,Red Hot Chili Peppers,31
12,The Cult,30
13,Lenny Kravitz,30
14,Nirvana,29
15,Guns N' Roses,28
16,Santana,27
17,Skank,23
18,The Who,20
19,Ozzy Osbourne,18
20,AC/DC,18
21,Soundgarden,17
22,Jimi Hendrix,17
23,Def Leppard,16
24,O Terço,15
25,Faith No More,15
26,Aerosmith,15
27,The Police,14
28,Rush,14
29,Raul Seixas,14
30,R.E.M.,14
31,Audioslave,14
32,Velvet Revolver,13
33,Alanis Morissette,13
34,Scorpions,12
35,Stone Temple Pilots,12
36,Page & Plant,12
37,David Coverdale,12
38,Alice In Chains,12
39,The Doors,11
40,Paul D'Ianno,10
41,Men At Work,10
42,Marillion,10
43,Joe Satriani,10
44,Jamiroquai,10
45,Pink Floyd,9
46,Frank Zappa & Captain Beefheart,9
47,"Terry Bozzio, Tony Levin & Steve Stevens",7
48,Accept,4
49,The Posies,2
50,Dread Zeppelin,1
