,Country,Genre,Purchases
0,Argentina,Rock,9
1,Argentina,Alternative & Punk,9
2,Australia,Rock,22
3,Austria,Rock,15
4,Belgium,Rock,21
5,Brazil,Rock,81
6,Canada,Rock,107
7,Chile,Rock,9
8,Czech Republic,Rock,25
9,Denmark,Rock,21
10,Finland,Rock,18
11,France,Rock,65
12,Germany,Rock,62
13,Hungary,Rock,11
14,India,Rock,25
15,Ireland,Rock,12
16,Italy,Rock,18
17,Netherlands,Rock,18
18,Norway,Rock,17
19,Poland,Rock,22
20,Portugal,Rock,31
21,Spain,Rock,22
22,Sweden,Latin,12
23,USA,Rock,157
24,United Kingdom,Rock,37
